Country,mean,median,<10k,10-100k,100k-1M,1M+
Singapore,332995.0,86717.0,16.2,38.6,39.7,5.5
Slovakia,68059.0,45853.0,11.6,69.8,18.4,0.2
Slovenia,120173.0,67961.0,18.0,53.0,28.2,0.8
South Africa,20308.0,4523.0,75.8,20.2,3.9,0.2
Spain,227122.0,105831.0,16.7,31.6,48.6,3.0
Sri Lanka,23832.0,8802.0,54.3,42.0,3.7,0.1
Sudan,1014.0,383.0,99.0,0.9,0.1,0.0
Suriname,5644.0,1349.0,91.2,8.1,0.7,0.0
Sweden,336166.0,89846.0,34.0,18.4,40.3,7.3
Switzerland,673962.0,146733.0,11.9,33.7,43.2,11.2
Syria,2197.0,807.0,96.3,3.6,0.1,0.0
Taiwan,238862.0,93044.0,13.9,38.6,44.4,3.1
Tajikistan,4390.0,1844.0,92.4,7.3,0.3,0.0
Tanzania,3647.0,1433.0,93.7,6.1,0.2,0.0
Thailand,25292.0,8036.0,55.5,41.9,2.5,0.2
Timor-Leste,5185.0,2838.0,91.4,8.3,0.3,0.0
Togo,1484.0,468.0,98.0,2.0,0.1,0.0
Trinidad and Tobago,44182.0,15649.0,42.5,49.0,8.2,0.3
Tunisia,17550.0,6177.0,67.4,30.2,2.3,0.1
Turkey,27466.0,8001.0,57.6,38.8,3.4,0.2
Turkmenistan,20328.0,9030.0,54.0,43.2,2.7,0.1
Uganda,1994.0,646.0,96.6,3.3,0.1,0.0
Ukraine,13104.0,2529.0,79.1,19.5,1.3,0.1
United Arab Emirates,115476.0,21613.0,45.1,46.0,6.8,2.1
United Kingdom,290754.0,131522.0,18.0,27.8,49.5,4.7
United States,505421.0,79274.0,26.3,28.5,36.4,8.8
Uruguay,60914.0,22088.0,37.0,51.3,11.2,0.4
Venezuela,21040.0,7341.0,60.5,36.8,2.5,0.1
Vietnam,14075.0,4559.0,76.3,21.9,1.8,0.1
Yemen,5581.0,1223.0,93.0,6.2,0.8,0.0
Zambia,3068.0,692.0,94.3,5.5,0.2,0.0
Zimbabwe,7131.0,2356.0,86.9,12.5,0.6,0.0
