Afghanistan,1080.2732762352557,12431.10971898527,421504.371451398,281526.7397684343,0.5473208312552231,6.0117044634321655,3.734257201589977,2
Albania,4985.043475512088,46922.71365962358,505810.2771986313,994330.793335529,0.5045258435218232,0.530641259152633,2.4158919566317643,3
Algeria,5007.064976989319,51489.34754982723,506723.71712915704,968576.267235182,0.4991278417603088,0.5148810898685359,2.4492477865119433,3
Angola,606.0032903877025,31270.86334933029,382332.5285847946,2517347.773412112,0.07001981929683984,4.142546484210872,1.668415091474798,2
Argentina,2530.731863681267,15994.29641414955,290757.53671448096,1536569.1407450149,0.7263446373356621,2.946825331447162,4.3881060640753935,2
Armenia,4971.776254285212,49908.445417039344,503717.46472646744,1041117.7287987698,0.49778666046528874,0.5039480731656232,2.468580044763384,3
Australia,5699.873072820899,37211.793092137385,349189.9010108284,1618382.28993881,0.19890494403322914,0.8413795994015909,0.5406983300886492,0
Austria,8682.59635926443,46924.59721472749,322729.22141833894,602600.6007622684,0.4053329707349889,0.4480577574496406,1.6410781746076513,3
Azerbaijan,3822.743317667946,7366.775057993956,424448.1325750636,1300879.3621081086,0.28989728816904203,4.273017526972344,3.4749261826404565,2
Bahamas,6958.387730185752,48985.41129363985,234217.9641673112,1402443.417664025,0.7092282564183973,0.5440695354928887,0.8851512992025427,3
Bahrain,4437.706467353959,37958.75921152363,708892.318641695,1141538.2389926268,0.873469023961716,0.4614551605091721,0.21005308068445272,3
Bangladesh,3478.00459239134,28757.974017909422,23677.085464540105,1193783.098053642,0.4568326277974164,3.6171553468868405,4.513879149854606,2
Barbados,8388.085174298209,31004.34425709372,174790.84436743133,1059598.8206568481,0.6246478852122654,0.7892131599006527,1.1919726484835758,3
Belarus,4999.991189137825,50000.89099928921,524982.5773118844,999985.5470992501,0.4999997976210042,0.5000146592150714,2.500043805441927,3
Belgium,4709.535568736574,50204.187133586485,339597.21450099605,1081569.592064388,0.46925615735649195,0.6957671248516553,0.5109594681722291,0
Belize,3219.2197643513646,39395.58171736091,3316.152881539561,1543483.9225821288,0.5565429867541062,3.091098473250004,3.4813273630583472,2
Benin,41.56914688819407,51127.132468283424,515233.0528704827,1171220.4988523966,0.5212549592850038,2.625847055726476,3.1436930742118543,2
Bolivia,5018.171264622613,49970.07227780169,501850.87960020103,1028743.6040136677,0.49966218870617507,0.5018530179330261,2.4928407694528545,3
Bosnia and Herzegovina,5076.259143541483,47575.756952889205,506428.73621217953,1012984.4963078747,0.5074033508389464,0.5069166162361387,2.5332211274930936,3
Botswana,4990.109639598099,50418.77782682702,511806.69412270223,981968.2737022557,0.49322340147065963,0.52811138281819,2.3950045420449495,3
Brazil,5035.909986241884,50361.45168586551,495598.3737916477,1003970.1512742508,0.49718807760647155,0.502596955485781,2.4900905699375113,3
Brunei,5233.561264983477,51807.27269799233,510547.03299551934,1061804.8846256346,0.5030998164569094,0.47164879198761145,2.313360219371882,3
Bulgaria,5009.299773530776,49632.57557279824,500777.31442012114,1013318.2807859033,0.5028859474848184,0.5006493449117201,2.506932861122551,3
Burkina Faso,57.40301661116122,51423.46027589754,479598.4452641383,1248198.8767091306,0.5521928250534851,2.660667736787396,3.637770265558067,2
Burundi,337.06089776131705,57868.83725179873,577787.3570256451,1050517.1915557857,3.5243750901149182,0.6077150139488641,2.4291227356775025,1
Cambodia,2512.480304987147,2264.9874591394523,444536.29653370567,1088718.6357483664,0.6766358190892756,4.593601081774021,3.698719828771269,2
Cameroon,1092.6301653516448,3228.5762640513467,472504.23318162933,1185371.5896553474,0.8285809740406336,2.006799035562831,4.50619620373679,2
Canada,2921.9853708946794,47267.75630334228,354482.8681807829,1201507.4362130528,0.5129326092207005,0.8138915640554079,0.5451608169885432,0
Central African Republic,301.78991714923296,33765.75276170717,480928.4005829302,1193650.6494299765,3.9788508898640202,0.5412601570490487,3.4865992256841,1
Chad,11.129929486143732,47934.84228102236,615056.1589969787,1113130.7613098694,0.5854958327022998,2.684497639502729,2.9007519182451764,2
Chile,5124.774239408242,51330.34230378931,513143.8568815857,1016205.8839475901,0.4966278530542251,0.49649519891153493,2.4293104254264755,3
China,6568.686527529767,25718.748028917045,195839.9090885077,1026008.8722682612,0.4740338996994621,0.8357119386601326,1.3248811386193404,3
Colombia,4999.55575446619,49999.15619269067,523514.8022283192,999938.5976155578,0.5014912638588898,0.5000530494580802,2.5000268468069677,3
Comoros,1492.0809147457458,52253.364874217135,4941.541054347514,974960.370733439,0.06690355729015202,5.8063148192757605,2.470541275684349,2
Democratic Republic of the Congo,186.77340898493122,20347.599217497554,540802.5205637652,1578368.3476444297,0.6158854533250588,5.572953139702678,1.3069283400495846,2
Republic of the Congo,789.2897027110612,14829.21934172911,560135.4758371407,1491609.7666056794,0.5652684549601144,5.246983064964301,2.8244009815634477,2
Costa Rica,5004.826323511265,49979.9438610147,499833.94570298167,998499.5680617692,0.5001910825627925,0.5062438998774828,2.499668964111227,3
Croatia,7529.899859793262,41765.83794022376,165863.44895458297,858220.6360631061,0.7602960370887248,0.44768769112573426,0.9723373992375709,3
Cyprus,6544.177726979688,36531.39142550528,316663.86372642603,1243938.691371306,0.5220483668207656,0.5683904464711323,1.2951873624713715,3
Czech Republic,6961.703447592212,27577.364676925252,221566.12140175997,1298698.3414310962,0.848303552631569,0.7122764112463361,0.9557933428184733,3
Denmark,5506.551995550455,47254.597944002395,377428.40861590905,912647.2659098397,0.42045344169576776,0.8854835620530668,0.48100598441787734,0
